State,Year,State-Year,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Adult smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,Primary Care Physicians Rate,Mental Health Provider Rate,% With Annual Mammogram,% Flu Vaccinated,% Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,Life Expectancy,% Adults with Diabetes,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,Median Household Income,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural
Colorado,2019,Colorado2019,"52,817.00","5,944.21",14.47,3.45,3.85,8.98,14.63,21.80,8.40,15.50,90.46,20.47,34.07,8.67,82.00,355.63,41.00,48.00,3.28,12.10,5.05,16.53,80.50,6.30,5.46,17.53,27.48,71949,22.21,14.19,4.02,1.60,3.47,0.19,21.69,67.92,49.65,13.85
Connecticut,2019,Connecticut2019,"35,163.00","5,673.93",13.80,3.29,3.47,7.82,12.73,25.80,8.50,20.40,94.02,17.11,32.00,6.27,83.19,393.24,48.00,53.00,4.11,13.80,8.00,18.14,80.87,8.90,4.34,28.98,33.27,76366,20.58,17.22,10.21,0.56,4.86,0.11,16.51,66.51,51.20,12.01
Delaware,2019,Delaware2019,"12,674.00","7,777.26",17.99,3.65,4.27,8.72,17.03,30.90,8.10,27.70,86.47,16.83,30.30,6.08,71.83,262.21,48.00,54.00,3.76,17.60,9.30,14.84,78.43,11.50,4.67,35.44,36.79,65467,21.05,18.72,21.87,0.67,4.09,0.11,9.51,61.94,51.62,16.70
District of Columbia,2019,District of Columbia2019,"8,387.00","8,111.25",13.03,2.89,3.56,9.93,15.97,23.50,8.60,18.40,100.00,27.31,28.89,4.30,117.44,484.59,35.00,38.00,5.55,24.50,9.70,21.46,78.59,8.10,0.79,40.09,36.20,82533,18.15,12.14,44.89,0.61,4.42,0.14,11.28,37.05,52.55,0.00
Florida,2019,Florida2019,"263,456.00","7,259.69",17.48,3.72,3.97,8.65,16.09,26.60,6.90,25.90,88.74,17.13,23.34,15.95,72.51,160.79,43.00,43.00,3.57,20.00,8.20,20.07,80.04,10.60,7.17,23.08,34.49,55433,19.86,20.46,15.54,0.50,2.97,0.11,26.12,53.52,51.12,8.84
Georgia,2019,Georgia2019,"131,683.00","7,702.90",18.02,3.40,3.86,9.64,17.45,32.00,6.00,27.50,75.49,14.40,21.51,15.53,65.45,137.75,40.00,44.00,3.94,21.00,10.90,16.94,77.77,11.80,9.04,13.87,36.26,58634,23.82,13.88,31.50,0.52,4.31,0.12,9.76,52.39,51.37,24.93
Hawaii,2019,Hawaii2019,"14,148.00","5,794.41",14.16,3.43,3.23,8.28,12.79,23.70,7.70,20.50,92.54,21.13,31.20,4.63,87.56,249.21,42.00,42.00,2.45,11.80,,27.07,82.29,10.30,6.94,14.19,42.85,80527,21.36,18.37,1.97,0.40,37.64,10.19,10.66,21.76,49.95,8.07
Idaho,2019,Idaho2019,"18,014.00","6,310.24",14.57,3.63,3.60,6.79,14.35,29.30,7.30,20.80,78.90,16.59,30.24,11.81,65.93,208.47,39.00,41.00,2.84,14.20,7.40,15.12,79.32,8.90,7.06,14.14,29.50,55524,25.48,15.86,0.74,1.74,1.59,0.22,12.71,81.74,49.89,29.42
Illinois,2019,Illinois2019,"143,465.00","6,683.44",17.20,3.75,3.84,8.31,15.46,29.70,8.60,22.30,90.80,21.44,31.95,7.89,80.00,229.60,43.00,46.00,4.30,16.20,11.50,17.32,79.25,9.90,4.47,20.63,32.24,65063,22.43,15.64,14.06,0.59,5.88,0.07,17.38,61.01,50.86,11.51
Indiana,2019,Indiana2019,"90,977.00","8,305.94",19.78,4.17,4.72,8.04,21.78,33.40,7.10,26.70,75.24,17.62,19.66,9.61,66.19,160.48,42.00,49.00,3.43,17.50,11.75,13.20,77.04,11.90,6.93,25.05,36.01,55725,23.43,15.77,9.49,0.41,2.47,0.07,7.10,78.85,50.68,27.56
